,filename,point 1x,point 1y,point 2x,point 2y,water level x,water level y,wasserhoehe
0,ARIS_videos/2021/26.2_2021-11-13_191500_1_1044.mp4,1139,869,1426,848,1071,432,2144.4970414201184
1,ARIS_videos/2021/27_2021-11-14_053000_4280_4811_Rechenpassage_Fragezeichen.mp4,1144,867,1430,855,1070,325,2663.6563339028553
2,ARIS_videos/2021/34_2021-11-15_200000_1985_3975.mp4,1146,870,1430,858,1071,308,2781.079207920792
3,ARIS_videos/2021/38.4_2021-11-17_044500_1_1145.mp4,1146,869,1430,851,1070,378,2434.38873795999
4,ARIS_videos/2021/48_2021-11-23_171500_4775_4983.mp4,1141,865,1432,850,1071,405,2224.507101971592
5,ARIS_videos/2021/58_2021-11-11_060000_2197_2708.mp4,1143,867,1429,848,1069,396,2319.422568983775
6,ARIS_videos/2021/59_2021-11-13_060000_690_1057.mp4,1143,865,1428,852,1069,416,2217.5811484876035
7,ARIS_videos/2021/61_2021-11-11_014500_3694_3767.mp4,1135,867,1404,850,1066,409,2396.765313145217
8,ARIS_videos/2021/66_2021-11-24_144500_780_1086.mp4,1146,864,1431,848,1070,377,2405.657760704949
9,ARIS_videos/2021/8_2021-11-02_051500_2219_4196 Rechenpassage.mp4,1143,860,1430,832,1069,375,2378.432527990571
10,ARIS_videos/2021/38.3_2021-11-17_043000_4405_4988.mp4,1144,867,1428,847,1072,425,2192.9924990130285
